 CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
 103.30%             309.8MiB / 1.944GiB   15.57%              49.3MB / 65.8MB     0B / 0B             233
 101.93%             309.9MiB / 1.944GiB   15.57%              50.8MB / 67.8MB     0B / 0B             233
 101.93%             309.9MiB / 1.944GiB   15.57%              50.8MB / 67.8MB     0B / 0B             233
 102.85%             324.2MiB / 1.944GiB   16.29%              52.2MB / 69.8MB     0B / 0B             233
 102.85%             324.2MiB / 1.944GiB   16.29%              52.2MB / 69.8MB     0B / 0B             233
 103.32%             324.3MiB / 1.944GiB   16.29%              53.7MB / 71.9MB     0B / 0B             233
 103.32%             324.3MiB / 1.944GiB   16.29%              53.7MB / 71.9MB     0B / 0B             233
 102.98%             324.8MiB / 1.944GiB   16.32%              55.3MB / 74MB       0B / 0B             233
 102.98%             324.8MiB / 1.944GiB   16.32%              55.3MB / 74MB       0B / 0B             233
 104.46%             325.1MiB / 1.944GiB   16.33%              56.9MB / 76.2MB     0B / 0B             233
 104.46%             325.1MiB / 1.944GiB   16.33%              56.9MB / 76.2MB     0B / 0B             233
 101.91%             325.3MiB / 1.944GiB   16.34%              58.7MB / 78.6MB     0B / 0B             233
 101.91%             325.3MiB / 1.944GiB   16.34%              58.7MB / 78.6MB     0B / 0B             233
 103.98%             325.9MiB / 1.944GiB   16.37%              60.4MB / 81.1MB     0B / 0B             233
 103.98%             325.9MiB / 1.944GiB   16.37%              60.4MB / 81.1MB     0B / 0B             233
 106.22%             326.2MiB / 1.944GiB   16.39%              62.3MB / 83.4MB     0B / 0B             233
 106.22%             326.2MiB / 1.944GiB   16.39%              62.3MB / 83.4MB     0B / 0B             233
 102.20%             326.2MiB / 1.944GiB   16.39%              63.8MB / 85.8MB     0B / 0B             233
 102.20%             326.2MiB / 1.944GiB   16.39%              63.8MB / 85.8MB     0B / 0B             233
 102.01%             326.5MiB / 1.944GiB   16.40%              65.7MB / 88.4MB     0B / 0B             233
 102.01%             326.5MiB / 1.944GiB   16.40%              65.7MB / 88.4MB     0B / 0B             233
 107.80%             326.5MiB / 1.944GiB   16.40%              67.6MB / 90.8MB     0B / 0B             233
 107.80%             326.5MiB / 1.944GiB   16.40%              67.6MB / 90.8MB     0B / 0B             233
 106.66%             326.9MiB / 1.944GiB   16.43%              69.6MB / 93.2MB     0B / 0B             233
 106.66%             326.9MiB / 1.944GiB   16.43%              69.6MB / 93.2MB     0B / 0B             233
 103.98%             327.1MiB / 1.944GiB   16.44%              71.3MB / 95.7MB     0B / 0B             233
 103.98%             327.1MiB / 1.944GiB   16.44%              71.3MB / 95.7MB     0B / 0B             233
 104.46%             327.4MiB / 1.944GiB   16.45%              73.1MB / 98.2MB     0B / 0B             233
