CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
50.36%              64.31MiB / 1.944GiB   3.23%               95MB / 72.8MB       0B / 0B             23
48.73%              64.19MiB / 1.944GiB   3.22%               97MB / 74.3MB       0B / 0B             23
48.73%              64.19MiB / 1.944GiB   3.22%               97MB / 74.3MB       0B / 0B             23
48.76%              62.39MiB / 1.944GiB   3.13%               99.1MB / 75.8MB     0B / 0B             23
48.76%              62.39MiB / 1.944GiB   3.13%               99.1MB / 75.8MB     0B / 0B             23
52.77%              62.98MiB / 1.944GiB   3.16%               101MB / 77.5MB      0B / 0B             23
52.77%              62.98MiB / 1.944GiB   3.16%               101MB / 77.5MB      0B / 0B             23
53.96%              63.07MiB / 1.944GiB   3.17%               103MB / 79.1MB      0B / 0B             23
53.96%              63.07MiB / 1.944GiB   3.17%               103MB / 79.1MB      0B / 0B             23
50.38%              63.21MiB / 1.944GiB   3.18%               105MB / 80.6MB      0B / 0B             23
50.38%              63.21MiB / 1.944GiB   3.18%               105MB / 80.6MB      0B / 0B             23
49.48%              63.84MiB / 1.944GiB   3.21%               107MB / 82.1MB      0B / 0B             23
49.48%              63.84MiB / 1.944GiB   3.21%               107MB / 82.1MB      0B / 0B             23
56.10%              63.77MiB / 1.944GiB   3.20%               109MB / 83.8MB      0B / 0B             23
56.10%              63.77MiB / 1.944GiB   3.20%               109MB / 83.8MB      0B / 0B             23
50.93%              63.8MiB / 1.944GiB   3.21%               111MB / 85.3MB      0B / 0B             23
50.93%              63.8MiB / 1.944GiB   3.21%               111MB / 85.3MB      0B / 0B             23
50.57%              63.97MiB / 1.944GiB   3.21%               113MB / 86.9MB      0B / 0B             23
50.57%              63.97MiB / 1.944GiB   3.21%               113MB / 86.9MB      0B / 0B             23
54.98%              64.72MiB / 1.944GiB   3.25%               116MB / 88.4MB      0B / 0B             23
54.98%              64.72MiB / 1.944GiB   3.25%               116MB / 88.4MB      0B / 0B             23
55.48%              64.94MiB / 1.944GiB   3.26%               118MB / 90MB        0B / 0B             23
55.48%              64.94MiB / 1.944GiB   3.26%               118MB / 90MB        0B / 0B             23
50.00%              64.43MiB / 1.944GiB   3.24%               120MB / 91.6MB      0B / 0B             23
50.00%              64.43MiB / 1.944GiB   3.24%               120MB / 91.6MB      0B / 0B             23
48.13%              64.55MiB / 1.944GiB   3.24%               122MB / 93.1MB      0B / 0B             23
48.13%              64.55MiB / 1.944GiB   3.24%               122MB / 93.1MB      0B / 0B             23
55.91%              65.07MiB / 1.944GiB   3.27%               124MB / 94.7MB      0B / 0B             23
55.91%              65.07MiB / 1.944GiB   3.27%               124MB / 94.7MB      0B / 0B             23
47.61%              65.08MiB / 1.944GiB   3.27%               126MB / 96.3MB      0B / 0B             23
47.61%              65.08MiB / 1.944GiB   3.27%               126MB / 96.3MB      0B / 0B             23
53.72%              65.76MiB / 1.944GiB   3.30%               128MB / 97.9MB      0B / 0B             23
53.72%              65.76MiB / 1.944GiB   3.30%               128MB / 97.9MB      0B / 0B             23
51.75%              65.82MiB / 1.944GiB   3.31%               130MB / 99.4MB      0B / 0B             23
51.75%              65.82MiB / 1.944GiB   3.31%               130MB / 99.4MB      0B / 0B             23
54.71%              65.43MiB / 1.944GiB   3.29%               132MB / 101MB       0B / 0B             23
54.71%              65.43MiB / 1.944GiB   3.29%               132MB / 101MB       0B / 0B             23
52.37%              65.33MiB / 1.944GiB   3.28%               134MB / 103MB       0B / 0B             23
52.37%              65.33MiB / 1.944GiB   3.28%               134MB / 103MB       0B / 0B             23
54.44%              65.71MiB / 1.944GiB   3.30%               136MB / 104MB       0B / 0B             23
54.44%              65.71MiB / 1.944GiB   3.30%               136MB / 104MB       0B / 0B             23
50.80%              66.28MiB / 1.944GiB   3.33%               138MB / 106MB       0B / 0B             23
50.80%              66.28MiB / 1.944GiB   3.33%               138MB / 106MB       0B / 0B             23
53.46%              66.72MiB / 1.944GiB   3.35%               140MB / 107MB       0B / 0B             23
53.46%              66.72MiB / 1.944GiB   3.35%               140MB / 107MB       0B / 0B             23
52.27%              66.9MiB / 1.944GiB   3.36%               142MB / 109MB       0B / 0B             23
52.27%              66.9MiB / 1.944GiB   3.36%               142MB / 109MB       0B / 0B             23
48.02%              66.94MiB / 1.944GiB   3.36%               144MB / 110MB       0B / 0B             23
48.02%              66.94MiB / 1.944GiB   3.36%               144MB / 110MB       0B / 0B             23
54.83%              67.06MiB / 1.944GiB   3.37%               146MB / 112MB       0B / 0B             23
54.83%              67.06MiB / 1.944GiB   3.37%               146MB / 112MB       0B / 0B             23
50.81%              67.34MiB / 1.944GiB   3.38%               148MB / 114MB       0B / 0B             23
50.81%              67.34MiB / 1.944GiB   3.38%               148MB / 114MB       0B / 0B             23
55.21%              67.84MiB / 1.944GiB   3.41%               150MB / 115MB       0B / 0B             23
55.21%              67.84MiB / 1.944GiB   3.41%               150MB / 115MB       0B / 0B             23
56.71%              67.97MiB / 1.944GiB   3.41%               152MB / 117MB       0B / 0B             23
56.71%              67.97MiB / 1.944GiB   3.41%               152MB / 117MB       0B / 0B             23
52.74%              68.44MiB / 1.944GiB   3.44%               154MB / 118MB       0B / 0B             23
52.74%              68.44MiB / 1.944GiB   3.44%               154MB / 118MB       0B / 0B             23
48.74%              68.75MiB / 1.944GiB   3.45%               156MB / 120MB       0B / 0B             23
48.74%              68.75MiB / 1.944GiB   3.45%               156MB / 120MB       0B / 0B             23
53.98%              68.23MiB / 1.944GiB   3.43%               159MB / 121MB       0B / 0B             23
53.98%              68.23MiB / 1.944GiB   3.43%               159MB / 121MB       0B / 0B             23
50.33%              68.35MiB / 1.944GiB   3.43%               161MB / 123MB       0B / 0B             23
50.33%              68.35MiB / 1.944GiB   3.43%               161MB / 123MB       0B / 0B             23
50.50%              68.38MiB / 1.944GiB   3.44%               163MB / 125MB       0B / 0B             23
50.50%              68.38MiB / 1.944GiB   3.44%               163MB / 125MB       0B / 0B             23
49.80%              68.45MiB / 1.944GiB   3.44%               165MB / 126MB       0B / 0B             23
49.80%              68.45MiB / 1.944GiB   3.44%               165MB / 126MB       0B / 0B             23
52.52%              69.18MiB / 1.944GiB   3.48%               167MB / 128MB       0B / 0B             23
52.52%              69.18MiB / 1.944GiB   3.48%               167MB / 128MB       0B / 0B             23
53.91%              69.21MiB / 1.944GiB   3.48%               169MB / 129MB       0B / 0B             23
53.91%              69.21MiB / 1.944GiB   3.48%               169MB / 129MB       0B / 0B             23
53.96%              68.82MiB / 1.944GiB   3.46%               171MB / 131MB       0B / 0B             23
53.96%              68.82MiB / 1.944GiB   3.46%               171MB / 131MB       0B / 0B             23
49.41%              69.31MiB / 1.944GiB   3.48%               173MB / 132MB       0B / 0B             23
49.41%              69.31MiB / 1.944GiB   3.48%               173MB / 132MB       0B / 0B             23
54.69%              70.19MiB / 1.944GiB   3.53%               175MB / 134MB       0B / 0B             23
54.69%              70.19MiB / 1.944GiB   3.53%               175MB / 134MB       0B / 0B             23
48.67%              70.41MiB / 1.944GiB   3.54%               177MB / 136MB       0B / 0B             23
48.67%              70.41MiB / 1.944GiB   3.54%               177MB / 136MB       0B / 0B             23
56.34%              70.58MiB / 1.944GiB   3.55%               179MB / 137MB       0B / 0B             23
56.34%              70.58MiB / 1.944GiB   3.55%               179MB / 137MB       0B / 0B             23
51.74%              71.04MiB / 1.944GiB   3.57%               181MB / 139MB       0B / 0B             23
51.74%              71.04MiB / 1.944GiB   3.57%               181MB / 139MB       0B / 0B             23
51.29%              71.61MiB / 1.944GiB   3.60%               183MB / 140MB       0B / 0B             23
51.29%              71.61MiB / 1.944GiB   3.60%               183MB / 140MB       0B / 0B             23
53.10%              71.85MiB / 1.944GiB   3.61%               185MB / 142MB       0B / 0B             23
53.10%              71.85MiB / 1.944GiB   3.61%               185MB / 142MB       0B / 0B             23
50.20%              71.63MiB / 1.944GiB   3.60%               187MB / 143MB       0B / 0B             23
50.20%              71.63MiB / 1.944GiB   3.60%               187MB / 143MB       0B / 0B             23
55.03%              71.96MiB / 1.944GiB   3.62%               189MB / 145MB       0B / 0B             23
55.03%              71.96MiB / 1.944GiB   3.62%               189MB / 145MB       0B / 0B             23
51.88%              72.18MiB / 1.944GiB   3.63%               191MB / 147MB       0B / 0B             23
51.88%              72.18MiB / 1.944GiB   3.63%               191MB / 147MB       0B / 0B             23
48.59%              72.61MiB / 1.944GiB   3.65%               193MB / 148MB       0B / 0B             23
48.59%              72.61MiB / 1.944GiB   3.65%               193MB / 148MB       0B / 0B             23
53.69%              72.54MiB / 1.944GiB   3.64%               195MB / 150MB       0B / 0B             23
53.69%              72.54MiB / 1.944GiB   3.64%               195MB / 150MB       0B / 0B             23
45.53%              72.91MiB / 1.944GiB   3.66%               198MB / 151MB       0B / 0B             23
45.53%              72.91MiB / 1.944GiB   3.66%               198MB / 151MB       0B / 0B             23
48.89%              72.99MiB / 1.944GiB   3.67%               199MB / 153MB       0B / 0B             23
48.89%              72.99MiB / 1.944GiB   3.67%               199MB / 153MB       0B / 0B             23
52.49%              73.51MiB / 1.944GiB   3.69%               202MB / 154MB       0B / 0B             23
52.49%              73.51MiB / 1.944GiB   3.69%               202MB / 154MB       0B / 0B             23
54.62%              73.08MiB / 1.944GiB   3.67%               204MB / 156MB       0B / 0B             23
54.62%              73.08MiB / 1.944GiB   3.67%               204MB / 156MB       0B / 0B             23
47.64%              73.43MiB / 1.944GiB   3.69%               206MB / 157MB       0B / 0B             23
47.64%              73.43MiB / 1.944GiB   3.69%               206MB / 157MB       0B / 0B             23
53.47%              73.68MiB / 1.944GiB   3.70%               208MB / 159MB       0B / 0B             23
53.47%              73.68MiB / 1.944GiB   3.70%               208MB / 159MB       0B / 0B             23
54.40%              73.57MiB / 1.944GiB   3.70%               210MB / 161MB       0B / 0B             23
54.40%              73.57MiB / 1.944GiB   3.70%               210MB / 161MB       0B / 0B             23
54.35%              73.93MiB / 1.944GiB   3.71%               212MB / 162MB       0B / 0B             23
54.35%              73.93MiB / 1.944GiB   3.71%               212MB / 162MB       0B / 0B             23
50.68%              74.3MiB / 1.944GiB   3.73%               214MB / 164MB       0B / 0B             23
50.68%              74.3MiB / 1.944GiB   3.73%               214MB / 164MB       0B / 0B             23
47.28%              74.53MiB / 1.944GiB   3.74%               216MB / 165MB       0B / 0B             23
47.28%              74.53MiB / 1.944GiB   3.74%               216MB / 165MB       0B / 0B             23
51.07%              74.61MiB / 1.944GiB   3.75%               218MB / 167MB       0B / 0B             23
51.07%              74.61MiB / 1.944GiB   3.75%               218MB / 167MB       0B / 0B             23
53.20%              74.95MiB / 1.944GiB   3.77%               220MB / 168MB       0B / 0B             23
53.20%              74.95MiB / 1.944GiB   3.77%               220MB / 168MB       0B / 0B             23
50.01%              75.48MiB / 1.944GiB   3.79%               222MB / 170MB       0B / 0B             23
50.01%              75.48MiB / 1.944GiB   3.79%               222MB / 170MB       0B / 0B             23
54.49%              75.49MiB / 1.944GiB   3.79%               224MB / 172MB       0B / 0B             23
54.49%              75.49MiB / 1.944GiB   3.79%               224MB / 172MB       0B / 0B             23
54.72%              75.23MiB / 1.944GiB   3.78%               226MB / 173MB       0B / 0B             23
54.72%              75.23MiB / 1.944GiB   3.78%               226MB / 173MB       0B / 0B             23
50.61%              75.45MiB / 1.944GiB   3.79%               228MB / 175MB       0B / 0B             23
50.61%              75.45MiB / 1.944GiB   3.79%               228MB / 175MB       0B / 0B             23
52.04%              75.61MiB / 1.944GiB   3.80%               230MB / 176MB       0B / 0B             23
52.04%              75.61MiB / 1.944GiB   3.80%               230MB / 176MB       0B / 0B             23
49.81%              75.76MiB / 1.944GiB   3.81%               232MB / 178MB       0B / 0B             23
49.81%              75.76MiB / 1.944GiB   3.81%               232MB / 178MB       0B / 0B             23
53.41%              75.73MiB / 1.944GiB   3.80%               234MB / 180MB       0B / 0B             23
53.41%              75.73MiB / 1.944GiB   3.80%               234MB / 180MB       0B / 0B             23
52.86%              76.18MiB / 1.944GiB   3.83%               236MB / 181MB       0B / 0B             23
52.86%              76.18MiB / 1.944GiB   3.83%               236MB / 181MB       0B / 0B             23
57.34%              76.74MiB / 1.944GiB   3.86%               238MB / 183MB       0B / 0B             23
57.34%              76.74MiB / 1.944GiB   3.86%               238MB / 183MB       0B / 0B             23
49.40%              77.46MiB / 1.944GiB   3.89%               240MB / 184MB       0B / 0B             23
49.40%              77.46MiB / 1.944GiB   3.89%               240MB / 184MB       0B / 0B             23
52.63%              76.83MiB / 1.944GiB   3.86%               243MB / 186MB       0B / 0B             23
52.63%              76.83MiB / 1.944GiB   3.86%               243MB / 186MB       0B / 0B             23
49.10%              77.42MiB / 1.944GiB   3.89%               245MB / 187MB       0B / 0B             23
49.10%              77.42MiB / 1.944GiB   3.89%               245MB / 187MB       0B / 0B             23
46.85%              77.63MiB / 1.944GiB   3.90%               247MB / 189MB       0B / 0B             23
46.85%              77.63MiB / 1.944GiB   3.90%               247MB / 189MB       0B / 0B             23
46.96%              77.18MiB / 1.944GiB   3.88%               249MB / 190MB       0B / 0B             23
46.96%              77.18MiB / 1.944GiB   3.88%               249MB / 190MB       0B / 0B             23
54.39%              77.77MiB / 1.944GiB   3.91%               251MB / 192MB       0B / 0B             23
54.39%              77.77MiB / 1.944GiB   3.91%               251MB / 192MB       0B / 0B             23
50.29%              77.48MiB / 1.944GiB   3.89%               253MB / 194MB       0B / 0B             23
50.29%              77.48MiB / 1.944GiB   3.89%               253MB / 194MB       0B / 0B             23
46.01%              78.02MiB / 1.944GiB   3.92%               255MB / 195MB       0B / 0B             23
46.01%              78.02MiB / 1.944GiB   3.92%               255MB / 195MB       0B / 0B             23
51.45%              77.83MiB / 1.944GiB   3.91%               257MB / 197MB       0B / 0B             23
51.45%              77.83MiB / 1.944GiB   3.91%               257MB / 197MB       0B / 0B             23
48.11%              78.55MiB / 1.944GiB   3.95%               259MB / 198MB       0B / 0B             23
48.11%              78.55MiB / 1.944GiB   3.95%               259MB / 198MB       0B / 0B             23
51.33%              79.03MiB / 1.944GiB   3.97%               261MB / 200MB       0B / 0B             23
