CPU %               MEM USAGE / LIMIT    MEM %               NET I/O             BLOCK I/O           PIDS
56.71%              70.18MiB / 1.944GiB   3.53%               167MB / 656MB       0B / 0B             23
75.87%              67.83MiB / 1.944GiB   3.41%               168MB / 662MB       0B / 0B             23
75.87%              67.83MiB / 1.944GiB   3.41%               168MB / 662MB       0B / 0B             23
71.74%              68.65MiB / 1.944GiB   3.45%               170MB / 668MB       0B / 0B             23
71.74%              68.65MiB / 1.944GiB   3.45%               170MB / 668MB       0B / 0B             23
82.76%              69.55MiB / 1.944GiB   3.49%               172MB / 674MB       0B / 0B             23
82.76%              69.55MiB / 1.944GiB   3.49%               172MB / 674MB       0B / 0B             23
45.14%              70.4MiB / 1.944GiB   3.54%               173MB / 679MB       0B / 0B             23
45.14%              70.4MiB / 1.944GiB   3.54%               173MB / 679MB       0B / 0B             23
79.80%              70.31MiB / 1.944GiB   3.53%               174MB / 686MB       0B / 0B             23
79.80%              70.31MiB / 1.944GiB   3.53%               174MB / 686MB       0B / 0B             23
98.80%              70.99MiB / 1.944GiB   3.57%               176MB / 693MB       0B / 0B             23
98.80%              70.99MiB / 1.944GiB   3.57%               176MB / 693MB       0B / 0B             23
75.64%              73.25MiB / 1.944GiB   3.68%               178MB / 700MB       0B / 0B             23
75.64%              73.25MiB / 1.944GiB   3.68%               178MB / 700MB       0B / 0B             23
62.74%              69.88MiB / 1.944GiB   3.51%               180MB / 706MB       0B / 0B             23
62.74%              69.88MiB / 1.944GiB   3.51%               180MB / 706MB       0B / 0B             23
68.03%              70.36MiB / 1.944GiB   3.53%               181MB / 712MB       0B / 0B             23
68.03%              70.36MiB / 1.944GiB   3.53%               181MB / 712MB       0B / 0B             23
66.65%              70.81MiB / 1.944GiB   3.56%               183MB / 718MB       0B / 0B             23
66.65%              70.81MiB / 1.944GiB   3.56%               183MB / 718MB       0B / 0B             23
70.70%              72.3MiB / 1.944GiB   3.63%               184MB / 725MB       0B / 0B             23
70.70%              72.3MiB / 1.944GiB   3.63%               184MB / 725MB       0B / 0B             23
64.89%              71.16MiB / 1.944GiB   3.58%               186MB / 731MB       0B / 0B             23
64.89%              71.16MiB / 1.944GiB   3.58%               186MB / 731MB       0B / 0B             23
70.26%              70.71MiB / 1.944GiB   3.55%               188MB / 738MB       0B / 0B             23
70.26%              70.71MiB / 1.944GiB   3.55%               188MB / 738MB       0B / 0B             23
53.52%              71.2MiB / 1.944GiB   3.58%               189MB / 743MB       0B / 0B             23
53.52%              71.2MiB / 1.944GiB   3.58%               189MB / 743MB       0B / 0B             23
80.06%              72.77MiB / 1.944GiB   3.66%               191MB / 749MB       0B / 0B             23
80.06%              72.77MiB / 1.944GiB   3.66%               191MB / 749MB       0B / 0B             23
80.56%              73.02MiB / 1.944GiB   3.67%               192MB / 755MB       0B / 0B             23
80.56%              73.02MiB / 1.944GiB   3.67%               192MB / 755MB       0B / 0B             23
75.71%              72.53MiB / 1.944GiB   3.64%               193MB / 760MB       0B / 0B             23
75.71%              72.53MiB / 1.944GiB   3.64%               193MB / 760MB       0B / 0B             23
79.76%              73.5MiB / 1.944GiB   3.69%               195MB / 765MB       0B / 0B             23
79.76%              73.5MiB / 1.944GiB   3.69%               195MB / 765MB       0B / 0B             23
48.61%              72.59MiB / 1.944GiB   3.65%               196MB / 770MB       0B / 0B             23
48.61%              72.59MiB / 1.944GiB   3.65%               196MB / 770MB       0B / 0B             23
72.81%              72.4MiB / 1.944GiB   3.64%               198MB / 775MB       0B / 0B             23
72.81%              72.4MiB / 1.944GiB   3.64%               198MB / 775MB       0B / 0B             23
81.19%              75.18MiB / 1.944GiB   3.78%               199MB / 781MB       0B / 0B             23
81.19%              75.18MiB / 1.944GiB   3.78%               199MB / 781MB       0B / 0B             23
64.19%              74.43MiB / 1.944GiB   3.74%               200MB / 787MB       0B / 0B             23
64.19%              74.43MiB / 1.944GiB   3.74%               200MB / 787MB       0B / 0B             23
73.05%              73.58MiB / 1.944GiB   3.70%               202MB / 793MB       0B / 0B             23
73.05%              73.58MiB / 1.944GiB   3.70%               202MB / 793MB       0B / 0B             23
97.58%              76.48MiB / 1.944GiB   3.84%               203MB / 798MB       0B / 0B             23
97.58%              76.48MiB / 1.944GiB   3.84%               203MB / 798MB       0B / 0B             23
48.28%              73.22MiB / 1.944GiB   3.68%               204MB / 803MB       0B / 0B             23
48.28%              73.22MiB / 1.944GiB   3.68%               204MB / 803MB       0B / 0B             23
82.64%              73.77MiB / 1.944GiB   3.71%               206MB / 808MB       0B / 0B             23
82.64%              73.77MiB / 1.944GiB   3.71%               206MB / 808MB       0B / 0B             23
39.41%              73.32MiB / 1.944GiB   3.68%               207MB / 812MB       0B / 0B             23
39.41%              73.32MiB / 1.944GiB   3.68%               207MB / 812MB       0B / 0B             23
80.73%              73.09MiB / 1.944GiB   3.67%               208MB / 818MB       0B / 0B             23
80.73%              73.09MiB / 1.944GiB   3.67%               208MB / 818MB       0B / 0B             23
60.75%              72.69MiB / 1.944GiB   3.65%               210MB / 823MB       0B / 0B             23
60.75%              72.69MiB / 1.944GiB   3.65%               210MB / 823MB       0B / 0B             23
65.11%              75.33MiB / 1.944GiB   3.78%               211MB / 829MB       0B / 0B             23
65.11%              75.33MiB / 1.944GiB   3.78%               211MB / 829MB       0B / 0B             23
62.39%              74.28MiB / 1.944GiB   3.73%               212MB / 835MB       0B / 0B             23
62.39%              74.28MiB / 1.944GiB   3.73%               212MB / 835MB       0B / 0B             23
68.23%              77.39MiB / 1.944GiB   3.89%               214MB / 841MB       0B / 0B             23
68.23%              77.39MiB / 1.944GiB   3.89%               214MB / 841MB       0B / 0B             23
45.06%              76.6MiB / 1.944GiB   3.85%               215MB / 846MB       0B / 0B             23
45.06%              76.6MiB / 1.944GiB   3.85%               215MB / 846MB       0B / 0B             23
71.62%              75.63MiB / 1.944GiB   3.80%               217MB / 852MB       0B / 0B             23
71.62%              75.63MiB / 1.944GiB   3.80%               217MB / 852MB       0B / 0B             23
84.53%              76.9MiB / 1.944GiB   3.86%               218MB / 858MB       0B / 0B             23
84.53%              76.9MiB / 1.944GiB   3.86%               218MB / 858MB       0B / 0B             23
61.21%              75.82MiB / 1.944GiB   3.81%               220MB / 864MB       0B / 0B             23
61.21%              75.82MiB / 1.944GiB   3.81%               220MB / 864MB       0B / 0B             23
77.64%              75.33MiB / 1.944GiB   3.78%               221MB / 870MB       0B / 0B             23
77.64%              75.33MiB / 1.944GiB   3.78%               221MB / 870MB       0B / 0B             23
59.38%              76.3MiB / 1.944GiB   3.83%               223MB / 874MB       0B / 0B             23
59.38%              76.3MiB / 1.944GiB   3.83%               223MB / 874MB       0B / 0B             23
70.49%              76.95MiB / 1.944GiB   3.87%               224MB / 882MB       0B / 0B             23
70.49%              76.95MiB / 1.944GiB   3.87%               224MB / 882MB       0B / 0B             23
82.61%              81.14MiB / 1.944GiB   4.08%               226MB / 887MB       0B / 0B             23
82.61%              81.14MiB / 1.944GiB   4.08%               226MB / 887MB       0B / 0B             23
79.99%              75.18MiB / 1.944GiB   3.78%               227MB / 893MB       0B / 0B             23
79.99%              75.18MiB / 1.944GiB   3.78%               227MB / 893MB       0B / 0B             23
64.21%              76.39MiB / 1.944GiB   3.84%               229MB / 898MB       0B / 0B             23
64.21%              76.39MiB / 1.944GiB   3.84%               229MB / 898MB       0B / 0B             23
92.89%              77.77MiB / 1.944GiB   3.91%               230MB / 903MB       0B / 0B             23
92.89%              77.77MiB / 1.944GiB   3.91%               230MB / 903MB       0B / 0B             23
88.57%              76.43MiB / 1.944GiB   3.84%               231MB / 908MB       0B / 0B             23
88.57%              76.43MiB / 1.944GiB   3.84%               231MB / 908MB       0B / 0B             23
69.41%              76.36MiB / 1.944GiB   3.84%               233MB / 915MB       0B / 0B             23
69.41%              76.36MiB / 1.944GiB   3.84%               233MB / 915MB       0B / 0B             23
76.11%              77.44MiB / 1.944GiB   3.89%               234MB / 920MB       0B / 0B             23
76.11%              77.44MiB / 1.944GiB   3.89%               234MB / 920MB       0B / 0B             23
68.05%              76.98MiB / 1.944GiB   3.87%               235MB / 926MB       0B / 0B             23
