CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
100.98%             309.3MiB / 1.944GiB   15.54%              68.4MB / 52.8MB     0B / 0B             230
100.98%             309.3MiB / 1.944GiB   15.54%              68.4MB / 52.8MB     0B / 0B             230
102.64%             310.6MiB / 1.944GiB   15.60%              70.4MB / 54.5MB     0B / 0B             230
102.64%             310.6MiB / 1.944GiB   15.60%              70.4MB / 54.5MB     0B / 0B             230
83.78%              310.9MiB / 1.944GiB   15.62%              72.6MB / 56.2MB     0B / 0B             230
83.78%              310.9MiB / 1.944GiB   15.62%              72.6MB / 56.2MB     0B / 0B             230
93.48%              304.4MiB / 1.944GiB   15.29%              74.7MB / 57.8MB     0B / 0B             230
93.48%              304.4MiB / 1.944GiB   15.29%              74.7MB / 57.8MB     0B / 0B             230
70.27%              304.2MiB / 1.944GiB   15.28%              76.7MB / 59.4MB     0B / 0B             230
70.27%              304.2MiB / 1.944GiB   15.28%              76.7MB / 59.4MB     0B / 0B             230
69.03%              304.6MiB / 1.944GiB   15.30%              78.8MB / 61.1MB     0B / 0B             230
69.03%              304.6MiB / 1.944GiB   15.30%              78.8MB / 61.1MB     0B / 0B             230
57.59%              305MiB / 1.944GiB   15.32%              80.8MB / 62.6MB     0B / 0B             230
57.59%              305MiB / 1.944GiB   15.32%              80.8MB / 62.6MB     0B / 0B             230
94.39%              305.5MiB / 1.944GiB   15.35%              83MB / 64.3MB       0B / 0B             230
94.39%              305.5MiB / 1.944GiB   15.35%              83MB / 64.3MB       0B / 0B             230
68.64%              306MiB / 1.944GiB   15.37%              85MB / 66MB         0B / 0B             230
68.64%              306MiB / 1.944GiB   15.37%              85MB / 66MB         0B / 0B             230
80.63%              306.4MiB / 1.944GiB   15.39%              87.1MB / 67.6MB     0B / 0B             230
80.63%              306.4MiB / 1.944GiB   15.39%              87.1MB / 67.6MB     0B / 0B             230
71.86%              306.9MiB / 1.944GiB   15.42%              89.1MB / 69.2MB     0B / 0B             230
71.86%              306.9MiB / 1.944GiB   15.42%              89.1MB / 69.2MB     0B / 0B             230
68.75%              307.3MiB / 1.944GiB   15.44%              91.2MB / 70.8MB     0B / 0B             230
68.75%              307.3MiB / 1.944GiB   15.44%              91.2MB / 70.8MB     0B / 0B             230
69.11%              307.4MiB / 1.944GiB   15.44%              93.3MB / 72.5MB     0B / 0B             230
69.11%              307.4MiB / 1.944GiB   15.44%              93.3MB / 72.5MB     0B / 0B             230
